Target,TF,Regulation,Evidence,TF_logFC,TF_FDR,TF_Reg,TG_logFC,TG_FDR,TG_Reg,,,
ADIPOQ,TFAP2B,Repression,19325541,-2.216606884,1.88849393758344e-23,DOWN,-2.72851338,1.00322934680421e-33,DOWN,,,
AGR2,SPDEF,Activation,19786015,-1.861495242,8.39214287777526e-17,DOWN,-4.532390675,1.40155316995832e-76,DOWN,,,Significant Interactions
ALK,PHOX2B,Activation,20957039,-4.265635828,3.40628708917472e-53,DOWN,-2.611519267,2.69040185570882e-31,DOWN,,,
CYP2C9,HNF4A,Activation,15919766;16540586;18552123;20086032,-1.704874577,4.26791574779576e-14,DOWN,-1.829977378,5.39277772473295e-16,DOWN,,,
CYP2C9,HNF4A,Unknown,16882880,-1.704874577,4.26791574779576e-14,DOWN,-1.829977378,5.39277772473295e-16,DOWN,,,
GCG,POU3F4,Unknown,21824252,1.798952067,5.31386956870287e-18,UP,-4.405898819,1.03328108689469e-69,DOWN,,,
GJB1,SOX10,Activation,15470753,-7.374754143,3.09935216217999e-150,DOWN,-2.058308521,3.30118544480891e-19,DOWN,,,
GJB1,SOX10,Repression,16494873;21918739,-7.374754143,3.09935216217999e-150,DOWN,-2.058308521,3.30118544480891e-19,DOWN,,,
GJB1,SOX10,Unknown,11734543,-7.374754143,3.09935216217999e-150,DOWN,-2.058308521,3.30118544480891e-19,DOWN,,,
MPZ,SOX10,Unknown,21179557,-7.374754143,3.09935216217999e-150,DOWN,-4.005698453,2.1475415317009e-63,DOWN,,,
PTGDS,TFAP2B,Activation,15743775,-2.216606884,1.88849393758344e-23,DOWN,3.88868312,2.1268308450015e-76,UP,,,
PTGS2,CDX2,Repression,15013430,-2.158070059,1.13414243659578e-21,DOWN,1.835124898,2.45308998042453e-19,UP,,,
PTGS2,ELF3,Unknown,15794755,-2.133578397,5.73417079206268e-22,DOWN,1.835124898,2.45308998042453e-19,UP,,,
PTGS2,PGR,Repression,18483177,-2.624934678,1.3696629864049e-31,DOWN,1.835124898,2.45308998042453e-19,UP,,,
REG4,CDX2,Unknown,23133598,-2.158070059,1.13414243659578e-21,DOWN,1.659124388,3.20393177879038e-14,UP,,,
RELN,TBR1,Unknown,19165920,-2.460724593,6.19418409696421e-27,DOWN,-1.54157023,2.60650973585769e-12,DOWN,,,
SLC15A1,CDX2,Activation,16616718,-2.158070059,1.13414243659578e-21,DOWN,-1.979835047,1.77077272289628e-18,DOWN,,,
SLC26A3,HNF4A,Unknown,17761837,-1.704874577,4.26791574779576e-14,DOWN,-3.205731808,8.3385060365038e-42,DOWN,,,
TYR,OTX2,Activation,22259223,-1.917182483,4.27116952444782e-18,DOWN,5.283604417,7.81907059056492e-122,UP,,,
UGT2B15,CDX2,Unknown,20070244,-2.158070059,1.13414243659578e-21,DOWN,-3.312992471,8.90310568219851e-42,DOWN,,,
UGT2B17,CDX2,Unknown,20070244,-2.158070059,1.13414243659578e-21,DOWN,-1.53444937,6.66664698577226e-11,DOWN,,,
UGT2B7,HNF4A,Unknown,21415305,-1.704874577,4.26791574779576e-14,DOWN,-1.930159726,3.06545156517426e-18,DOWN,,,
